id,name,image,area,age,url,event_start_month,event_start_day,event_end_month,event_end_day,app_start_month,app_start_day,app_end_month,app_end_day,organizer,fee,feature,category
1,響灘緑地グリーンパーク 絵本の読み聞かせ,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,門司区,高校生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,28,,,,,,,南北交流プログラム実行委員会,無料,,自習室
2,児童文化科学館 トロッコ列車体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,その他,https://www.gururich-kitaq.com/search?q=児童文化科学館,11,7,,,,,,,北九州市,無料,無料特集！,こども食堂
3,到津の森公園 お料理教室,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,高校生,https://www.gururich-kitaq.com/search?q=到津の森公園,11,11,11,14,,,,,,1000円,自習室特集,施設
4,ソラランド平尾台 水遊び,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,17,,,9,10,9,20,北九州市（マーケティング課）,子ども無料、大人500円,自習室特集,自習室
5,ソラランド平尾台 水遊び,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,戸畑区,未就学児,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,11,8,11,10,10,5,10,15,,子ども無料、大人500円,自習室特集,こども食堂
6,子どもの館 化石発掘体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,若松区,未就学児,https://www.gururich-kitaq.com/search?q=子どもの館,11,11,11,14,10,3,10,13,北九州市観光協会,1000円,自習室特集,施設
7,子どもの館 工作教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡東区,未就学児,https://www.gururich-kitaq.com/search?q=子どもの館,10,12,10,15,,,,,北九州市,子ども無料、大人500円,自習室特集,自習室
8,門司港レトロ 絵本の読み聞かせ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,高校生,https://www.gururich-kitaq.com/search?q=門司港レトロ,9,18,,,,,,,北九州市観光協会,無料,自習室特集,こども食堂
9,門司港レトロ 自然観察ハイキング,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,小倉北区,高校生,https://www.gururich-kitaq.com/search?q=門司港レトロ,9,20,9,21,,,,,南北交流プログラム実行委員会,無料,自習室特集,施設
10,勝山公園 化石発掘体験,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=勝山公園,11,7,,,10,9,10,19,,子ども無料、大人500円,自習室特集,自習室
11,子どもの館 工作教室,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,その他,https://www.gururich-kitaq.com/search?q=子どもの館,9,18,,,8,5,8,15,,無料,自習室特集,こども食堂
12,響灘緑地グリーンパーク 星空観察会,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡東区,高校生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,11,22,,,10,6,10,16,北九州市（マーケティング課）,無料,自習室特集,施設
13,児童文化科学館 星空観察会,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,中学生,https://www.gururich-kitaq.com/search?q=児童文化科学館,9,16,9,18,,,,,北九州市,無料,自習室特集,自習室
14,皿倉山 化石発掘体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,高校生,https://www.gururich-kitaq.com/search?q=皿倉山,9,16,9,17,8,2,8,12,南北交流プログラム実行委員会,無料,🍁秋のわくわく特集,こども食堂
15,響灘緑地グリーンパーク 星空観察会,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,その他,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,11,26,11,27,10,1,10,11,北九州市,無料,🍁秋のわくわく特集,施設
16,皿倉山 昆虫採集,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,市外,中学生,https://www.gururich-kitaq.com/search?q=皿倉山,11,10,11,11,,,,,夏クエスト実行委員会,無料,🍁秋のわくわく特集,自習室
17,到津の森公園 トロッコ列車体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,24,10,25,9,5,9,15,,500円,🍁秋のわくわく特集,こども食堂
18,いのちのたび博物館 絵本の読み聞かせ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡西区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,11,11,11,12,,,,,,1000円,🍁秋のわくわく特集,施設
19,山田緑地 水遊び,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=山田緑地,11,24,,,10,7,10,17,,子ども無料、大人500円,🍁秋のわくわく特集,自習室
20,ソラランド平尾台 昆虫採集,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉南区,高校生,https://www.gururich-kitaq.com/search?q=ソラランド平尾台,10,28,10,31,,,,,北九州市観光協会,無料,🍁秋のわくわく特集,こども食堂
21,山田緑地 お料理教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,門司区,中学生,https://www.gururich-kitaq.com/search?q=山田緑地,9,11,9,14,,,,,西レシピプロジェクト,無料,🍁秋のわくわく特集,施設
22,到津の森公園 自然観察ハイキング,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉北区,その他,https://www.gururich-kitaq.com/search?q=到津の森公園,11,3,,,,,,,夏クエスト実行委員会,1000円,🍁秋のわくわく特集,自習室
23,子どもの館 バックヤードツアー,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,小学4〜6年生,https://www.gururich-kitaq.com/search?q=子どもの館,10,7,,,,,,,,子ども無料、大人500円,🍁秋のわくわく特集,こども食堂
24,白島展示館 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,八幡西区,高校生,https://www.gururich-kitaq.com/search?q=白島展示館,9,14,,,,,,,北九州市（マーケティング課）,無料,🍁秋のわくわく特集,施設
25,山田緑地 絵本の読み聞かせ,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,小倉北区,その他,https://www.gururich-kitaq.com/search?q=山田緑地,9,17,,,,,,,北九州市観光協会,500円,🍁秋のわくわく特集,自習室
26,いのちのたび博物館 自然観察ハイキング,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,門司区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,11,9,11,12,,,,,夏クエスト実行委員会,無料,🍁秋のわくわく特集,こども食堂
27,山田緑地 水遊び,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,その他,https://www.gururich-kitaq.com/search?q=山田緑地,11,9,11,11,10,3,10,13,北九州市（マーケティング課）,子ども無料、大人500円,🍁秋のわくわく特集,施設
28,到津の森公園 プログラミング体験,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,市外,未就学児,https://www.gururich-kitaq.com/search?q=到津の森公園,9,1,9,4,,,,,北九州市（マーケティング課）,無料,🍁秋のわくわく特集,自習室
29,白島展示館 自然観察ハイキング,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=白島展示館,11,12,,,,,,,西レシピプロジェクト,1000円,🍁秋のわくわく特集,こども食堂
30,到津の森公園 絵本の読み聞かせ,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,高校生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,5,,,,,,,,500円,🍁秋のわくわく特集,施設
31,いのちのたび博物館 プログラミング体験,https://images.unsplash.com/photo-1518991054366-0d19694e9f78?auto=format&fit=crop&w=500&q=60,八幡東区,小学1〜3年生,https://www.gururich-kitaq.com/search?q=いのちのたび博物館,9,21,,,8,9,8,19,,無料,🍁秋のわくわく特集,自習室
32,勝山公園 昆虫採集,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,戸畑区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=勝山公園,9,15,,,,,,,北九州市,子ども無料、大人500円,🍁秋のわくわく特集,こども食堂
33,山田緑地 工作教室,https://images.unsplash.com/photo-1534447677768-be436bb09401?auto=format&fit=crop&w=500&q=60,小倉南区,未就学児,https://www.gururich-kitaq.com/search?q=山田緑地,9,5,,,8,10,8,20,南北交流プログラム実行委員会,無料,🍁秋のわくわく特集,施設
34,響灘緑地グリーンパーク 昆虫採集,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,小学4〜6年生,https://www.gururich-kitaq.com/search?q=響灘緑地グリーンパーク,9,8,,,8,13,8,23,西レシピプロジェクト,500円,🍁秋のわくわく特集,自習室
35,到津の森公園 星空観察会,https://images.unsplash.com/photo-1564750242279-0524cb51b43d?auto=format&fit=crop&w=500&q=60,八幡西区,中学生,https://www.gururich-kitaq.com/search?q=到津の森公園,10,4,10,6,,,,,,無料,🍁秋のわくわく特集,こども食堂
